"","site","long","lat"
"201","FHM 2911 Bjørnsholm",9.27663,56.881832
"202","FHM 2911 Bjørnsholm",9.27663,56.881832
"203","FHM 2911 Bjørnsholm",9.27663,56.881832
"204","FHM 2911 Bjørnsholm",9.27663,56.881832
"205","FHM 2911 Bjørnsholm",9.27663,56.881832
"206","FHM 2911 Bjørnsholm",9.27663,56.881832
"207","FHM 2911 Bjørnsholm",9.27663,56.881832
"208","FHM 2911 Bjørnsholm",9.27663,56.881832
"209","FHM 2911 Bjørnsholm",9.27663,56.881832
"210","FHM 2911 Bjørnsholm",9.27663,56.881832
"211","FHM 2911 Bjørnsholm",9.27663,56.881832
"212","FHM 2911 Bjørnsholm",9.27663,56.881832
"213","FHM 2911 Bjørnsholm",9.27663,56.881832
"214","FHM 2911 Bjørnsholm",9.27663,56.881832
"215","FHM 2911 Bjørnsholm",9.27663,56.881832
"216","FHM 2911 Bjørnsholm",9.27663,56.881832
"217","FHM 2911 Bjørnsholm",9.27663,56.881832
"218","FHM 2911 Bjørnsholm",9.27663,56.881832
"219","FHM 2911 Bjørnsholm",9.27663,56.881832
"220","FHM 2911 Bjørnsholm",9.27663,56.881832
"221","FHM 2911 Bjørnsholm",9.27663,56.881832
"222","FHM 2911 Bjørnsholm",9.27663,56.881832
"223","FHM 2911 Bjørnsholm",9.27663,56.881832
"224","FHM 2911 Bjørnsholm",9.27663,56.881832
"225","FHM 2911 Bjørnsholm",9.27663,56.881832
"226","FHM 2911 Bjørnsholm",9.27663,56.881832
"227","FHM 1586 Brovst",9.5228664,57.0973209
"228","FHM 1586 Brovst",9.5228664,57.0973209
"229","FHM 1586 Brovst",9.5228664,57.0973209
"230","FHM 1586 Brovst",9.5228664,57.0973209
"231","FHM 1586 Brovst",9.5228664,57.0973209
"232","FHM 1586 Brovst",9.5228664,57.0973209
"233","FHM 1586 Brovst",9.5228664,57.0973209
"234","FHM 1586 Brovst",9.5228664,57.0973209
"235","FHM 1586 Brovst",9.5228664,57.0973209
"236","FHM 1586 Brovst",9.5228664,57.0973209
"237","FHM 1586 Brovst",9.5228664,57.0973209
"238","FHM 1586 Brovst",9.5228664,57.0973209
"239","FHM 1586 Brovst",9.5228664,57.0973209
"240","FHM 1586 Brovst",9.5228664,57.0973209
"241","FHM 1586 Brovst",9.5228664,57.0973209
"242","FHM 1586 Brovst",9.5228664,57.0973209
"243","FHM 1586 Brovst",9.5228664,57.0973209
"244","FHM 1586 Brovst",9.5228664,57.0973209
"245","FHM 1586 Brovst",9.5228664,57.0973209
"246","FHM 1586 Brovst",9.5228664,57.0973209
"247","FHM 1586 Brovst",9.5228664,57.0973209
"248","FHM 1586 Brovst",9.5228664,57.0973209
"249","FHM 1116 Eskelund",9.1301048,56.139828
"250","FHM 1116 Eskelund",9.1301048,56.139828
"251","FHM 1116 Eskelund",9.1301048,56.139828
"252","FHM 1116 Eskelund",9.1301048,56.139828
"253","FHM 1116 Eskelund",9.1301048,56.139828
"254","FHM 1116 Eskelund",9.1301048,56.139828
"255","FHM 1116 Eskelund",9.1301048,56.139828
"256","FHM 1116 Eskelund",9.1301048,56.139828
"257","FHM 1116 Eskelund",9.1301048,56.139828
"258","FHM 1116 Eskelund",9.1301048,56.139828
"259","FHM 1116 Eskelund",9.1301048,56.139828
"260","FHM 1116 Eskelund",9.1301048,56.139828
"261","FHM 1116 Eskelund",9.1301048,56.139828
"262","FHM 1116 Eskelund",9.1301048,56.139828
"263","FHM 1116 Eskelund",9.1301048,56.139828
"264","FHM 1116 Eskelund",9.1301048,56.139828
"265","FHM 1116 Eskelund",9.1301048,56.139828
"266","FHM 1116 Eskelund",9.1301048,56.139828
"267","FHM 1116 Eskelund",9.1301048,56.139828
"268","FHM 1116 Eskelund",9.1301048,56.139828
"269","FHM 4014 Havnø",10.1624347,56.7156585
"270","FHM 4014 Havnø",10.1624347,56.7156585
"271","FHM 4014 Havnø",10.1624347,56.7156585
"272","FHM 4014 Havnø",10.1624347,56.7156585
"273","FHM 4014 Havnø",10.1624347,56.7156585
"274","FHM 4014 Havnø",10.1624347,56.7156585
"275","FHM 4014 Havnø",10.1624347,56.7156585
"276","FHM 4014 Havnø",10.1624347,56.7156585
"277","FHM 4014 Havnø",10.1624347,56.7156585
"278","FHM 4014 Havnø",10.1624347,56.7156585
"279","FHM 4014 Havnø",10.1624347,56.7156585
"280","FHM 4014 Havnø",10.1624347,56.7156585
"281","FHM 4014 Havnø",10.1624347,56.7156585
"282","FHM 4014 Havnø",10.1624347,56.7156585
"283","FHM 4014 Havnø",10.1624347,56.7156585
"284","FHM 4014 Havnø",10.1624347,56.7156585
"285","FHM 4014 Havnø",10.1624347,56.7156585
"286","FHM 4014 Havnø",10.1624347,56.7156585
